,L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,IC50Dark(M*10^-6),IC50Dark_standard_error(M*10^-6),IC50Light(M*10^-6),IC50Light_standard_error(M*10^-6),Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,Comments
377,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(OCCN1C(=O)C=CC1=O)c1cccnc1,O=C(OCCN1C(=O)C=CC1=O)c1cccnc1,F[P-](F)(F)(F)(F)F,Ir1,90.6,1.7,76.9,1.6,465,20.0,48.0,MRC-5,48.0,10.1002/anie.201813002,2019,
378,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(OCCN1C(=O)C=CC1=O)c1cccnc1,O=C(OCCN1C(=O)C=CC1=O)c1cccnc1,F[P-](F)(F)(F)(F)F,Ir1,89.3,2.3,76.5,0.9,465,20.0,48.0,LO2,48.0,10.1002/anie.201813002,2019,
379,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,,[Cl-],1,15.64,0.43,13.25,1.44,450,60.0,144.0,HeLa,24.0,10.1002/anie.202116078,2022,
380,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,[Cl-],2,13.41,0.9,10.11,1.92,450,60.0,144.0,HeLa,24.0,10.1002/anie.202116078,2022,
381,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,,[Cl-],3,6.38,0.17,6.94,1.21,450,60.0,144.0,HeLa,24.0,10.1002/anie.202116078,2022,
382,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCNC(=O)c1ccnc(-c2cc(C)ccn2)c1,,F[P-](F)(F)(F)(F)F,1c,14.6,1.5,,,,,,HeLa,48.0,10.1002/chem.201000474,2010,
383,[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CCNC(=O)c1ccnc(-c2cc(C)ccn2)c1,,F[P-](F)(F)(F)(F)F,2c,4.1,0.4,,,,,,HeLa,48.0,10.1002/chem.201000474,2010,
384,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,12.8,,0.3,,465,5.0,390.0,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
385,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,23.8,,0.03,,465,5.0,390.0,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
386,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,2.3,,0.1,,465,5.0,390.0,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
387,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir4,1.8,,1.1,,465,5.0,390.0,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
388,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,12.8,,0.4,,525,5.0,985.3,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
389,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,23.8,,0.1,,525,5.0,985.3,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
390,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,2.3,,0.3,,525,5.0,985.3,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
391,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir4,1.8,,0.6,,525,5.0,985.3,HeLa,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
392,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,>100,,1.3,,465,5.0,390.0,B16,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
393,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,37.7,,1.1,,465,5.0,390.0,B16,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
394,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,9.8,,0.4,,465,5.0,390.0,B16,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
395,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,1.8,,0.02,,465,5.0,390.0,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
396,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,3.8,,0.01,,465,5.0,390.0,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
397,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,0.1,,0.003,,465,5.0,390.0,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
398,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir4,1.5,,0.1,,465,5.0,390.0,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
399,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,1.8,,0.1,,525,5.0,985.3,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
400,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,3.8,,0.01,,525,5.0,985.3,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
401,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,0.1,,0.01,,525,5.0,985.3,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
402,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir4,1.5,,0.2,,525,5.0,985.3,A431,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
403,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,14.3,,1.0,,465,5.0,390.0,NP69,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
404,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,11.9,,0.5,,465,5.0,390.0,NP69,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
405,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,1.1,,0.4,,465,5.0,390.0,NP69,48.0,10.1002/chem.202103346,2021,The standart error value is not specified in the source article
406,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,3.1,0.3,,,,,,AGS,48.0,10.1002/ange.201915828,2020,
407,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,3.3,0.2,,,,,,MKN-28,48.0,10.1002/ange.201915828,2020,
408,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,3.2,0.2,,,,,,HepG2,48.0,10.1002/ange.201915828,2020,
409,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,2.7,0.2,,,,,,A549,48.0,10.1002/ange.201915828,2020,
410,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,1.2,0.1,,,,,,SW620,48.0,10.1002/ange.201915828,2020,
411,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,4.8,0.2,,,,,,LO2,48.0,10.1002/ange.201915828,2020,
412,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,3.0,0.2,,,,,,GES-1,48.0,10.1002/ange.201915828,2020,
413,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,3.4,0.2,,,,,,MCF-10A,48.0,10.1002/ange.201915828,2020,
414,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,9.2,0.6,,,,,,AGS,48.0,10.1002/ange.201915828,2020,
415,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,11.3,0.8,,,,,,MKN-28,48.0,10.1002/ange.201915828,2020,
416,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,12.3,0.8,,,,,,HepG2,48.0,10.1002/ange.201915828,2020,
417,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,67.5,2.9,,,,,,A549,48.0,10.1002/ange.201915828,2020,
418,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,85.1,4.2,,,,,,SW620,48.0,10.1002/ange.201915828,2020,
419,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,>200,,,,,,,LO2,48.0,10.1002/ange.201915828,2020,
420,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,>200,,,,,,,GES-1,48.0,10.1002/ange.201915828,2020,
421,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,>200,,,,,,,MCF-10A,48.0,10.1002/ange.201915828,2020,
422,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,F[P-](F)(F)(F)(F)F,1,0.63,0.03,,,,,,A2780,72.0,10.1002/chem.201705362,2018,
423,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1cnc2c(c1)c1nccnc1c1cccnc12,,F[P-](F)(F)(F)(F)F,2,1.1,0.1,,,,,,A2780,72.0,10.1002/chem.201705362,2018,
424,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3,2.9,0.6,,,,,,A2780,72.0,10.1002/chem.201705362,2018,
425,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,,F[P-](F)(F)(F)(F)F,4,20.0,3.0,,,,,,A2780,72.0,10.1002/chem.201705362,2018,
426,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,O=c1[nH]c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2[nH]1,,F[P-](F)(F)(F)(F)F,5,4.7,0.6,,,,,,A2780,72.0,10.1002/chem.201705362,2018,
427,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,F[P-](F)(F)(F)(F)F,1,0.38,0.09,,,,,,A2780cisR,72.0,10.1002/chem.201705362,2018,
428,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1cnc2c(c1)c1nccnc1c1cccnc12,,F[P-](F)(F)(F)(F)F,2,0.37,0.09,,,,,,A2780cisR,72.0,10.1002/chem.201705362,2018,
429,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3,2.8,0.01,,,,,,A2780cisR,72.0,10.1002/chem.201705362,2018,
430,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,,F[P-](F)(F)(F)(F)F,4,20.0,2.0,,,,,,A2780cisR,72.0,10.1002/chem.201705362,2018,
431,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,O=c1[nH]c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2[nH]1,,F[P-](F)(F)(F)(F)F,5,3.4,0.5,,,,,,A2780cisR,72.0,10.1002/chem.201705362,2018,
432,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,F[P-](F)(F)(F)(F)F,1,1.8,0.1,,,,,,HeLa,72.0,10.1002/chem.201705362,2018,
433,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1cnc2c(c1)c1nccnc1c1cccnc12,,F[P-](F)(F)(F)(F)F,2,0.9,0.2,,,,,,HeLa,72.0,10.1002/chem.201705362,2018,
434,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3,6.1,0.3,,,,,,HeLa,72.0,10.1002/chem.201705362,2018,
435,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,,F[P-](F)(F)(F)(F)F,4,>25,,,,,,,HeLa,72.0,10.1002/chem.201705362,2018,
436,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,O=c1[nH]c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2[nH]1,,F[P-](F)(F)(F)(F)F,5,23.0,3.0,,,,,,HeLa,72.0,10.1002/chem.201705362,2018,
437,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,F[P-](F)(F)(F)(F)F,1,0.7,0.1,,,,,,MCF-7,72.0,10.1002/chem.201705362,2018,
438,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1cnc2c(c1)c1nccnc1c1cccnc12,,F[P-](F)(F)(F)(F)F,2,0.5,0.1,,,,,,MCF-7,72.0,10.1002/chem.201705362,2018,
439,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3,6.3,0.8,,,,,,MCF-7,72.0,10.1002/chem.201705362,2018,
440,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,,F[P-](F)(F)(F)(F)F,4,23.0,2.0,,,,,,MCF-7,72.0,10.1002/chem.201705362,2018,
441,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,O=c1[nH]c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2[nH]1,,F[P-](F)(F)(F)(F)F,5,11.0,3.0,,,,,,MCF-7,72.0,10.1002/chem.201705362,2018,
442,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,F[P-](F)(F)(F)(F)F,1,2.6,0.3,,,,,,MCF-10A,72.0,10.1002/chem.201705362,2018,
443,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1cnc2c(c1)c1nccnc1c1cccnc12,,F[P-](F)(F)(F)(F)F,2,3.2,0.2,,,,,,MCF-10A,72.0,10.1002/chem.201705362,2018,
444,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3,9.9,0.8,,,,,,MCF-10A,72.0,10.1002/chem.201705362,2018,
445,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,,F[P-](F)(F)(F)(F)F,4,40.0,4.0,,,,,,MCF-10A,72.0,10.1002/chem.201705362,2018,
446,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,O=c1[nH]c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2[nH]1,,F[P-](F)(F)(F)(F)F,5,41.0,3.0,,,,,,MCF-10A,72.0,10.1002/chem.201705362,2018,
447,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,4.9,0.21,,,,,,A549,48.0,10.1002/ange.202013987,2021,
448,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,3.62,0.57,,,,,,A549,48.0,10.1002/ange.202013987,2021,
449,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,5.0,0.31,,,,,,A549cisR,48.0,10.1002/ange.202013987,2021,
450,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,3.94,0.19,,,,,,A549cisR,48.0,10.1002/ange.202013987,2021,
451,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,7.47,0.15,,,,,,Lewis lung carcinoma,48.0,10.1002/ange.202013987,2021,
452,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,3.05,0.35,,,,,,Lewis lung carcinoma,48.0,10.1002/ange.202013987,2021,
453,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,7.73,0.36,,,,,,MDA-MB-231,48.0,10.1002/ange.202013987,2021,
454,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,3.95,0.43,,,,,,MDA-MB-231,48.0,10.1002/ange.202013987,2021,
455,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,54.01,8.05,,,,,,CT-26,48.0,10.1002/ange.202013987,2021,
456,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,5.66,1.0,,,,,,CT-26,48.0,10.1002/ange.202013987,2021,
457,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,14.31,0.86,,,,,,HLF,48.0,10.1002/ange.202013987,2021,
458,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,2.45,0.2,,,,,,HLF,48.0,10.1002/ange.202013987,2021,
